epoch,learning_rate,train_loss,train_acc,test_loss,test_acc,best_acc
0,0.01,539.0890101790428,49.09,103.5393180847168,64.12,64.12
1,0.01,314.6379179060459,71.71,66.92867502570152,77.18,77.18
2,0.01,232.24027627706528,79.38,61.254833430051804,79.34,79.34
3,0.01,190.74832594394684,83.11,50.26773416996002,83.13,83.13
4,0.01,163.2450402379036,85.546,44.02823193371296,84.7,84.7
5,0.01,144.1699379980564,87.336,44.68755182623863,84.96,84.96
6,0.01,129.0757550895214,88.76,41.98468296229839,86.43,86.43
7,0.01,115.23151969909668,89.874,39.77890971302986,86.78,86.78
8,0.01,104.0390477180481,90.898,36.42675521969795,87.73,87.73
9,0.01,93.24047765135765,91.862,38.504668831825256,87.3,87.73
10,0.01,87.13541712611914,92.21,35.42596696317196,88.59,88.59
11,0.01,79.21264586597681,92.918,34.069034188985825,89.2,89.2
12,0.01,75.21572092920542,93.354,35.748372972011566,88.81,89.2
13,0.01,68.26963107287884,93.996,37.43403723835945,88.83,89.2
14,0.01,62.851557578891516,94.448,35.05953195691109,89.31,89.31
15,0.01,58.51291386038065,94.802,35.1941774636507,89.47,89.47
16,0.01,54.981875743716955,95.148,35.25068958103657,89.28,89.47
17,0.01,50.686963602900505,95.472,35.99110375344753,89.38,89.47
18,0.01,49.21215161681175,95.64,40.92065728455782,88.47,89.47
19,0.01,46.66769213229418,95.922,39.84602712094784,89.07,89.47
20,0.01,41.936776734888554,96.214,35.33865247666836,89.49,89.49
21,0.01,42.386550072580576,96.198,37.71461035311222,89.64,89.64
22,0.01,37.80284193903208,96.654,36.049497947096825,90.04,90.04
23,0.01,36.107921773567796,96.758,38.70182716101408,89.48,90.04
24,0.01,34.70894998125732,96.876,38.056614860892296,89.62,90.04
25,0.01,33.8638968244195,97.004,44.50188688933849,88.43,90.04
26,0.01,34.5646162815392,96.868,39.94863831996918,88.88,90.04
27,0.01,30.511882795020938,97.29,40.138559967279434,89.16,90.04
28,0.01,30.773728815838695,97.264,34.66311136633158,90.55,90.55
29,0.01,27.724335057660937,97.596,52.96241466701031,87.52,90.55
30,0.01,28.5078528188169,97.472,40.34223319590092,89.39,90.55
31,0.01,27.324467714875937,97.544,41.35167992115021,89.41,90.55
32,0.01,27.677177598699927,97.54,38.0131314471364,89.83,90.55
33,0.01,26.264213832095265,97.726,36.884716875851154,90.22,90.55
34,0.01,25.43087339401245,97.722,35.8215978294611,90.45,90.55
35,0.01,24.807553296908736,97.742,35.95294614881277,89.8,90.55
36,0.01,24.308520518243313,97.84,38.682737313210964,90.22,90.55
37,0.01,23.06129741296172,97.96,43.486421689391136,88.89,90.55
38,0.01,23.486251544207335,97.98,40.96959584951401,89.71,90.55
39,0.01,23.337788553908467,97.914,37.75778578221798,90.33,90.55
40,0.01,22.5680126324296,98.044,31.59476573392749,90.89,90.89
41,0.01,20.766501002013683,98.16,43.49051158875227,89.72,90.89
42,0.01,22.441959170624614,97.982,40.99837315827608,89.81,90.89
43,0.01,23.220267962664366,97.994,37.32503207027912,89.95,90.89
44,0.01,22.51615070272237,98.052,41.26989026367664,89.31,90.89
45,0.01,21.79320790618658,98.1,35.4544448107481,90.2,90.89
46,0.01,20.55862684175372,98.236,39.2341443747282,90.29,90.89
47,0.01,20.564169000834227,98.218,38.88300904631615,89.82,90.89
48,0.01,21.955683331936598,98.03,39.31767142564058,90.3,90.89
49,0.01,20.303788686171174,98.166,32.519588485360146,90.8,90.89
50,0.01,19.343766909092665,98.276,38.39624389261007,89.77,90.89
